id,iteracion,split,recording,Hallazgo,species,sugerencia,begin_time_s,end_time_s,low_freq_hz,high_freq_hz,score,pasa,fecha
train|missing|20240528_081654|lw/cs|9.267|8448,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240528_081654.wav,missing,lw/cs,,9.26745891571045,9.734580993652344,8448.039342536116,11047.37926297334,0.8668,si,2026-09-16T21:45:52
train|missing|20240528_081547|lw/cs|3.513|7717,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240528_081547.wav,missing,lw/cs,,3.513288974761963,3.954535961151123,7717.139570235091,10425.529727456718,0.8655,si,2026-09-16T21:46:20
train|missing|20240528_081547|lw/cs|4.03|7429,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240528_081547.wav,missing,lw/cs,,4.029645919799805,4.495195865631104,7429.091216952413,10371.719102493837,0.8623,si,2026-09-16T21:46:28
train|missing|20240223_165342|lw/cs|17.673|7449,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240223_165342.wav,missing,lw/cs,,17.672746658325195,18.13338088989257,7448.627563252511,9281.53498080282,0.8591,duda,2026-09-16T21:46:45
train|missing|20240528_081654|lw/cs|9.828|8010,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240528_081654.wav,missing,lw/cs,,9.827512741088867,10.290907859802246,8010.015028881344,10488.96577540611,0.8459,si,2026-09-16T21:46:54
train|missing|20240417_072910|lw/cs|30.472|8705,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240417_072910.wav,missing,lw/cs,,30.472335815429688,30.89263153076172,8704.886517091854,10021.488187584388,0.8449,duda,2026-09-17T00:56:00
train|missing|20240405_065028|lw/cs|56.291|7763,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240405_065028.wav,missing,lw/cs,,56.29063034057617,56.57958221435547,7763.366367410362,9328.098312617496,0.8444,si,2026-09-17T01:15:17
train|missing|20240429_104758|lw/cs|22.035|9411,1,train,/home/fcandia/tesis-primate/data/raw/peruvian_spider_monkey__AC/20240429_104758.wav,missing,lw/cs,,22.034832000732425,22.462299346923828,9411.248628309866,11751.469791269466,0.8407,si,2026-09-17T01:15:22
train|missing|20240528_081620|lw/cs|12.616|7606,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240528_081620.wav,missing,lw/cs,,12.616046905517578,13.054945945739746,7606.379212291014,9954.848655714182,0.8404,si,2026-09-17T01:15:38
train|missing|20240405_064940|lw/cs|37.141|8207,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240405_064940.wav,missing,lw/cs,,37.14148712158203,37.35447311401367,8207.211046918244,9556.732759121483,0.8346,si,2026-09-17T01:15:56
train|missing|20240223_165451|lw/cs|0.092|7335,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240223_165451.wav,missing,lw/cs,,0.0924964696168899,0.6427104473114014,7334.844082206879,9599.736052660726,0.8333,si,2026-09-17T01:16:04
train|missing|20240219_080817|lw/cs|14.122|9651,1,train,/home/fcandia/tesis-primate/data/raw/weddells_saddleBack_tamarin__LW/20240219_080817.wav,missing,lw/cs,,14.121841430664062,14.565807342529297,9650.825815712164,11912.379549131812,0.8219,si,2026-09-17T01:16:35
